NAME	ALTERNATIVENAMES	SHORTDESCRIPTION	DATEOFBIRTH	PLACEOFBIRTH	DATEOFDEATH	PLACEOFDEATH	LATITUDE	LONGITUDE
Mandeville, Bernard	 	Dutch academic	15 November 1670	Rotterdam, Netherlands	21 January 1733	London Borough of Hackney|Hackney, England	51.92508	4.46946
Manetti, Antonio	 	Italian mathematician and architect	6 July 1423	Florence, Italy	26 May 1497	Florence, Italy	-21.87344	30.89136
Manfred of Sicily	 		1232	Venosa, Kingdom of Italy (medieval)|Italy	26 February 1266	Battle of Benevento|Benevento, Kingdom of Italy (medieval)|Italy	1232	26 February 1266
Mani	 	Iranian prophet	216	Ctesiphon, Parthian Empire (modern-day Iraq)	2 March 274	Gundeshapur, Sassanid Empire (modern-day Iran)	33.08333	44.58333
Manley, Delarivier	 	English woman writer	1663 or c. 1670	prob. Jersey	1724	London	42.5	1.48333
Manso de Velasco, Jose Antonio	 	Royal Governor of Chile	1688-00-00	Torrecilla en Cameros, Spain	May 6, 1767	Granada, Spain|Granada, Spain	42.25532	-2.63109
Manuel 01 Of Portugal	 	Portuguese monarch	31 May 1469	Alcochete, Kingdom of Portugal	13 December 1521	Lisbon, Kingdom of Portugal	38.75534	-8.96086
Manuel I Komnenos	Manuel I Comnenus; Μανουήλ Α' Κομνηνός; Manouēl I Komnēnos (Greek)	Byzantine Emperor	28 November 1118	Constantinople	24 September 1180	Constantinople	42.5	1.58333
Manyoki, Adam	 	Hungarian artist	1673	Szokolya	6 August 1757	Dresden	47.86766	19.00713
Mar, John Erskine, 22nd Earl of	 	Scottish general	1675	Kingdom of Scotland	1732	Aix-la-Chapelle, Kingdom of France	42.5	1.48333
Maratta, Carlo	 	Italian painter	1625	Camerano	1713	Rome	44.99165	8.09103
Marbeck, Roger	 	Classical scholar, physician	1536	England	1605		38	-61
Marcellinus, Ammianus	 	fourth-century Ancient Rome|Roman historian	325/330	Probably at Antioch	after 391		42.5	1.48333
Marcello, Benedetto	 	Italian composer, writer, advocate, magistrate and teacher	31 July or 1 August 1686	Venice	24 July 1739	Brescia	45.25	13
Marcellus, Pope, Ii	 	Pope	6 May 1501	Montefano, Marche, Papal States	1 May 1555	Rome, Papal States	43.41116	13.43838
Marcgrave, Georg	 	German naturalist and astronomer	1610	Liebstadt	1644	Guinea	50.8667	13.8667
March, Ausias	 	Valencian poet and knight	1397	Beniarjó, Kingdom of Valencia, Crown of Aragon	1459	València, Kingdom of Valencia. Crown of Aragon	38.93249	-0.18634
Marcian	 	Byzantine emperor	392	Praetorian prefecture of Illyricum|Illyricum	457		43.53985	16.48413
Marco D'aviano	Capuchin friar	 	1631	Aviano, Republic of Venice|Venice	1699		46.07892	12.58491
Marcus Aurelius	 	Roman emperor	26 April 121	Rome	17 March 180	Vienna|Vindobona or Sirmium	41.89474	12.4839
Margaret I of Denmark	 	Queen of Denmark	March 1353	Vordingborg Castle	 28 October 1412	Ship in Flensburg Fjord	42.5	1.48333
Margaret Of Hungary	 	Hungarian princess and saint	January 27, 1242	Klis Fortress, Klis, Kingdom of Croatia (medieval)	January 18, 1271	Margaret Island, Kingdom of Hungary	44.45304	20.97936
Margaret Of Savoy	 	Marchioness of Montferrat	June 21, 1390	Fossano	November 23, 1464	Casale Monferrato|Casale	44.54894	7.72013
Margaret of Cortona	 	Italian penitent	1247	Tuscany, Italy	February 22, 1297	Cortona, Italy	15.337	44.20654
Margaret of Savoy, Vicereine of Portugal	Marguerite de Savoie (French); Margherita di Savoia (Italian); Margarida de Saboia (Portuguese); Margarita de Saboya (Spanish)	Spanish Vicereine of Portugal	28 April 1589	Turin	26 June 1655	Miranda de Ebro	46.19428	-87.25007
Margaret of Sicily	Margaret of Staufen	Landgravine of Thuringia and Countess Palatine of Saxony	1 December 1241	Foggia	8 August 1270	Frankfurt-am-Main	41.46601	15.55608
Margaret of Thuringia	Margaret of Thuringia	Electress consort of Brandenburg (1486-1499)	1449	Weimar	1501-7-13	Spandau	-31.885	115.9292
Margrave Albert II of Meissen	Albert the Degenerate (nickname); Albrecht II., Markgraf von Meißen (German); Albrecht der Entartete (German nickname)	Margrave of Meissen, Landgrave of Thuringia, Count Palatine of Saxony (1288-1292)	1240	Meissen	20 November 1314	Erfurt	42.5	1.58333
Maria Anna of Bavaria	Maria Anna von Bayern (German)	Consort of Ferdinand, who after her death became Emperor Ferdinand II 	December 8, 1574	Munich	March 8, 1616	Graz	48.35378	11.78609
Maria De Agreda	 		2 April 1602	Ágreda, Spain	24 May 1665	Ágreda, Spain	Maria De Agreda	
Maria Josepha of Austria	Maria Józefa (Polish)	Queen consort of Poland	8 December 1699	Vienna, Austria	17 November 1757	Dresden, Electorate of Saxony|Saxony	48.20849	16.37208
Maria Theresa Of Spain	 	French queen consort	10 September 1638	El Escorial, Spain	30 July 1683	Palace of Versailles|Versailles, France	40.58901	-4.14803
Maria of Austria, Archduchess	Erzherzogin Maria von Österreich (German)	Daughter of Emperor Ferdinand I and spouse of William, Duke of Jülich-Cleves-Berg	15 May 1531	Prague	11 december 1581	Hambach Castle, Niederzier	50.10083	14.26
Mariam uz-Zamani	Hira Kunwari, Harkha Bai, Jodha Bai	Mughal Empress	October 1, 1542	Amber, India|Amber	1622	Agra	43.95676	-86.34242
Marie of Champagne	 		1145	 	March 11, 1198	 	1145	March 11, 1198
Marie of Valois, Duchess of Bar	Marie de France (French)	French princess	September 18, 1344	Saint-Germain-en-Laye	October 15, 1404		48.9	2.08333
Marin de Poveda, Tomas	 	Royal Governor of Chile	February 26, 1650	Lúcar, Almería Province, Spain	October 8, 1703	Santiago, Chile|Santiago, Chile	37.40035	-2.42496
Mariscotti, Hyacintha	Mariscotti, Clarice	Franciscan nun and saint	1585	Vignanello, Viterbo, Italy	30 January 1640	Viterbo, Italy	42.38383	12.27677
Mark Of Ephesus	 	Archbishop of Ephesus	1392	Constantinople	June 3, 1444	Constantinople	42.5	1.58333
Marlowe, Christopher	Marlowe, Kit	English playwright and poet	Unknown, baptised 26 February 1564	Canterbury, England	30 May 1593	Deptford, London|Deptford, England	-20.18237	32.74772
Martial	Marcus Valerius Martialis	Roman poet and epigrammatist 	March 1, 40 AD	Augusta Bilbilis (now Calatayud, Spain)	102 AD	Rome	42.56667	1.68333
Martin V	 	Pope Pope	1369	Genazzano, near Rome, Papal States	1431	Rome, Papal States	41.82522	12.97079
Martin of Opava	 	Dominican friar and Archbishop of Gniezno	1200s	Opava, Margraviate of Moravia	1278	Bologna, Holy Roman Empire	48.19588	19.17724
Martin of Tours	Martin the Merciful, Saint Martin	Christian saint and bishop	316	Hungary	November 11, 397	Candes, France	29.56002	34.94702
Martin, Marialejandra	Martin, Maria Alejandra / Martin, Mariale	 	November 23	Caracas, Venezuela	 		10.48801	-66.87919
Marulic, Marko	 	Croatian poet	18 August 1450	Split (city)|Split, Republic of Venice	5 January 1524	Split (city)|Split, Republic of Venice	43.54521	-96.58945
Marvell, Andrew	 	English politician	31 March 1621	Winestead, England	16 August 1678	London, England	38	-61
Mary Fitton	Mary Polwhele	possible Dark Lady of Shakespeare's sonnets	 June 1578	Gawsworth, Cheshire	1647		-20.39786	29.95288
Mary I of England	Mary Tudor; Bloody Mary	Queen of England	18 February 1516	Palace of Placentia, Greenwich	17 November 1558	St James's Palace, London	40.56674	-75.83023
Mary II	 	Queen of England and Ireland	30 April 1662	St. James Palace, London	28 December 1694	Kensington Palace, London	51.53223	-0.04905
Mary of Austria	Mary of Hungary (English); María de Austria (Spanish); Maria von Ungarn (German)	Dutch ruler	17 September 1505	Brussels, Duchy of Brabant|Brabant	17 October 1558	Cigales, Crown of Castile|Castile	50.8348	4.33653
Mary of Hungary	 		1371	 	17 May 1395	Buda, Hungary	1371	17 May 1395
Mary, Princess Of Orange	 	Dutch princess	4 November 1631	St. James's Palace, London	24 December 1660	Whitehall Palace, London	51.53223	-0.04905
Mary, Queen of Scots	Marie Stuart	Scottish monarch	8 December 1542	Linlithgow Palace, West Lothian	8 February 1587	Fotheringhay Castle, Northamptonshire	55.91667	-3.5
Masaccio, Tommaso	 	Italian painter	December 21, 1401	San Giovanni Valdarno, Italy	1428	Rome	43.56345	11.53183
Mascarenhas, Pedro	 	Portuguese explorer and colonial administrator	1470	Mértola Municipality|Mértola, Kingdom of Portugal	June 23, 1555	Goa, Portuguese India	37.64304	-7.6611
Mason, John	 	English soldier and land proprietor	1586	King's Lynn, Norfolk, England	1635		-29.03333	167.95
Massari, Lucio	 	Italian painter	22 January 1569	Bologna	3 November 1633		44.50657	11.35041
Massillon, Jean-Baptiste	 	French Oratorian and bishop	24 June 1663	Hyères, Provence, Kingdom of France	28 September 1742	Beauregard-l'Évêque, Auvergne (province), Kingdom of France	31.5	-29
Masson, Forbes	 	Scottish actor, director and writer	17 August	Falkirk	 		56	-3.75
Matchett, Kari	 	Canadian actor	March 25	Spalding, Saskatchewan, Canada	 		46.5498	-93.24298
Matera, Giovanni Di	 	Benedictine monk	1070	Matera, Italy	1139	Foggia, Italy	56.48333	101.88333
Mather, Cotton	 	American theologian	February 12, 1663	Boston, Massachusetts	February 13, 1728		-29.68333	30.01667
Mather, Richard	 	English colonial Congregationalist clergyman	1596	Lowton, Lancashire, England	April 22, 1669	Dorchester, Massachusetts Bay Colony	53.46667	-2.58333
Mathews, Thomas	 	Royal Navy officer during the Nine Years' War, and the War of Austrian Succession	October 1676	The Cathedral School, Llandaff|Llandaff Court, Llandaff	2 October 1751	Bloomsbury Square, London	-33.89339	151.25208
Matilda of Anjou	 	Duchess of Normandy; later an abbess	1111	Anjou	1154	Fontevraud Abbey	45.34832	4.88635
Matsuda, Yuuki	 	Japanese voice actor	March 3	Tokyo, Japan	 		35.65861	139.74541
Matteo da Perugia	 	Medieval Italian composer	before 1400	Perugia, Italy	after 1416	Milan, Italy	43.09674	12.38286
Matthew, Tobias	Mathew, Tobie &amp; Mathew, Toby	Academic administration and archbishop	1546	Bristol, England	29 March 1628	England	51.33333	-4.5
Matthias Corvinus	Matthias Hunyadi; Matthias I	Hungarian king	23 February 1443	Kolozsvár, Kingdom of Hungary|Hungary (present-day Cluj-Napoca, Romania)	6 April 1490	Vienna	42.5	1.58333
Mauduit, Jacques	 	French composer	16 September 1557	Paris	21 August 1627	Paris	48.86694	2.78207
Maupertuis, Pierre Louis	 	French scientist	17 July 1698	Saint-Malo, France	27 July 1759	Basel, Switzerland	-49.34818	69.82424
Maurice I, Elector of Saxony	 	Duke of Saxony (1541–47) and later Prince-elector|Elector (1547–53) of Saxony	21 March 1521	Freiberg, Saxony|Freiberg	9 July 1553	Battle of Sievershausen|Sievershausen, Lehrte, Germany	48.9296	9.202
Maurice of Nassau, Prince of Orange	Prins Maurits van Oranje-Nassau (Dutch)	Stadtholder of the United Provinces of the Netherlands (1585–1625)	14 November 1567	Dillenburg, Nassau (state)|Nassau	23 April 1625	The Hague, Dutch Republic	25.083	-77.3
Maurice, Landgrave of Hesse-Kassel	Mortitz, Landgraf von Hessen-Kassel (German)	Landgrave of Hesse-Kassel, musician	25 May 1572	Kassel	15 March 1632	Eschwege	45.72359	-99.40734
Maurice, Leonard Of Port	 	Italian Franciscan preacher	20 December 1676	Porto Maurizio	26 November 1751	Rome	42.5	1.58333
Maurolico, Francesco	 	Greek mathematician and astronomer	1494	Messina, Sicily	1575	Messina, Kingdom of Sicily	-22.35131	30.0396
Maurus, Rabanus	 	archbishop of Mainz and writer	780	Mainz, Germany	856	Winkel	35.36182	71.92937
Maurya, Chandragupta	 	Mauryan emperor	340 BC	Magadha, Bihar	 	Shravanabelagola, Karnataka	24.9754	66.9936
Mavrocordatos, John	Mavrocordatos, Ioannis (Greek); Mavrocordat, Ioan (Romanian)	Phanariote Prince	23 July 1684	Constantinople	23 November 1719	Bucharest	42.5	1.58333
Maximilian I	 	Holy Roman Emperor	22 March 1459	Wiener, Neustadt, Austria	19 January 1519	Wels, Upper Austria	47.84333	16.26014
Maximus the Confessor	Maximus of Constantinople, Maximus the Theologian	Christian saint and theologian	580	Constantinople	13 August 662	Georgia (country)|Georgia (Eurasia)	42.5	1.58333
May, Thomas	 	English poet, dramatist and historian 	1595	Mayfield, East Sussex	1650-11-13		-17.78861	31.01389
Mayenne, Charles, Duc De	 	French noble	26 March 1554	Alençon	3 October 1611	Soissons	48.43333	0.08333
Mayer, Nicholas De	 	Dutch politician	July 10, 1635	Hamburg, Germany	March 19, 1691	New Amsterdam, New Netherland	-33.29042	27.4747
Maymun Ibn Qays Al Asha	Al-Asha	Poet	570	Riyadh	625		24.70983	46.72517
Mayne, Cuthbert	 	English Roman Catholic priest	1544	Youlston, near Barnstaple in Devon	29 November 1577	Launceston, Cornwall	42.5	1.48333
Mayorga, Victor	 	Peruvian politician	03 de abril	Cusco Perú	 		42.5	1.48333
Mazarin, Jules	 	Catholic cardinal	July 14, 1602	Pescina, Kingdom of Naples	March 9, 1661	Vincennes, France	42.02543	13.6579
Mazzocchi, Virgilio	 	Italian Baroque composer	22 July 1597	Civita Castellana	3 October 1646	Rome	42.29523	12.40917
McCarthy, Michael	 	Gaelic football player	24/01/56	County Kerry	 	Liebherr Breakup Day	42.5	1.58333
McGibbon, William	 	Scottish composer and violinist	1690	Edinburgh	3 October 1756	Edinburgh	-27.05945	24.71266
Medici, Catherine de'	Médicis, Catherine de (French); Medici, Caterina de' (Italian)	Queen	13 April 1519	Florence, Italy	5 January 1589	Château de Blois, Blois, France	-21.87344	30.89136
Medici, Claudia	 	Archduchess of Austria	June 4, 1604	Florence	December 25, 1648	Palace of Innsbruck, Holy Roman Empire|HRE	-21.87344	30.89136
Medici, Ferdinando 1	 	Grand Duke of Tuscany	30 July 1549	Florence	17 February 1609	Florence	-21.87344	30.89136
Medici, Ferdinando De'	 	Tuscan prince	9 August 1663	Florence, Grand Duchy of Tuscany|Tuscany	31 October 1713	Florence, Tuscany	-21.87344	30.89136
Medici, Francesco Maria	 	Catholic cardinal	12 November 1660	Pitti Palace, Florence, Grand Duchy of Tuscany|Tuscany	3 February 1711	Bagno a Ripoli, Florence, Tuscany	-21.87344	30.89136
Medici, Francesco	 	Grand Duke of Tuscany	25 March 1541	Florence	17 October 1587	Medici Villa in Poggio a Caiano|Poggio a Caiano, Tuscany	-21.87344	30.89136
Medici, Gian Gastone de'	Medici, Giovanni Battista Gastone de'	Last Medici Grand Duke of Tuscany	24 May 1671	Florence, Grand Duchy of Tuscany	9 July 1737	Florence, Grand Duchy of Tuscany	-21.87344	30.89136
Medici, Ippolito De'	 	Catholic cardinal	1511	Florence, Republic of Florence	10 August 1535	Itri, Kingdom of Naples	-21.87344	30.89136
Medici, Leopoldo De	 	Catholic cardinal	6 November 1617	Palazzo Pitti, Florence, Grand Duchy of Tuscany|Tuscany	16 November 1675	Siena, Tuscany	-21.87344	30.89136
Medici, Lorenzo De'	Lorenzo di Piero de' Medici	Italian statesman	January 1, 1449	Florence, Republic of Florence	April 9, 1492	Careggi, Republic of Florence	-21.87344	30.89136
Mei, Yaochen	 	Poet	1002	Xuancheng	1060		25.4095	116.3841
Meinhard III of Gorizia-Tyrol	Meinhard, Duke of Upper Bavaria	Duke of Upper Bavaria (1361-1363)	February 9, 1344	Landshut	January 13, 1363	Tirol Castle near Meran	48.53587	12.15227
Melanchthon, Philipp	 	German reformer	16 February 1497	Bretten, near Karlsruhe	19 April 1560	Wittenberg	-16.69885	31.33589
Meletius 01, Pegas	 	Greek Patriarch of Aleandria	1549	Heraklion|Candia, Crete	12 September 1601	Alexandria	36	25
Mellan, Claude	 	French painter and engraver	23 May 1598	Abbeville	9 March 1688	Paris	31.59835	-85.23802
Mello, Dom Francisco Manuel de	 	Portuguese writer and soldier	November 23, 1608	Lisbon	August 24, 1666	Lisbon	38.76529	-9.09518
Menéndez de Avilés, Pedro	 	Spanish explorer	15 February 1519	Avilés, Asturias, Spain	17 September 1574	Santander, Cantabria|Santander, Cantabria, Spain	43.55473	-5.92483
Menasseh Ben Israel	 	Portuguese rabbi, kabbalist, scholar, writer, diplomat, printer and publisher	1604	Madeira Island, Portugal	November 20, 1657	Middelburg|Middleburg, Netherlands	-23.48628	-46.73367
Menshikov, Aleksandr Danilovich	 	Field Marshal of Russia	6 November 1673	Moscow, Tsardom of Russia	12 November 1729	Beryozovo|Berezov, Russian Empire	55.75222	37.61556
Mercati, Michele	 	Italian physiciain	8 April 1541	ROME 	25 June 1593	ROME 	42.5	1.58333
Mercator, Gerardus	de Kremer, Gerard; de Cremer, Gerard	cartographer	5 March 1512	Rupelmonde	2 December 1594	Duisburg	51.1293	4.29434
Mercurian, Everard	Lardinois	Jesuit Superior General	1514	Marcourt	1 August 1580		50.21533	5.52479
Merian, Maria Sibylla	Graff, Maria Sibylla	Naturalist, illustrator	1647	Frankfurt, Germany	1717	Amsterdam, Netherlands	80.3331	59.40879
Merian, Matthäus	 	engraver, publisher	22 September 1593	Basel, Switzerland	19 June 1650)	Bad Schwalbach, Germany	47.58958	7.52991
Merici, Angela	 	Foundress of the Ursulines	21 March 1474	Desenzano del Garda, Province of Brescia, Lombardy, Italy	27 January 1549	Brescia, Lombardy, Italy	45.46798	10.53398
Merret, Christopher	Merrett, Christopher	Naturalist, first to describe sparkling wine production	16 February 1614/5	Winchcombe, Gloucestershire	19 August 1695	Hatton Garden, London	51.95363	-1.96398
Mersenne, Marin	 	French mathematician	8 September 1588	Oizé, Maine (province of France)|Maine	1 September 1648	Paris	47.81009	0.10458
Messaus, Guilielmus	Messaulx, Missau	musician (composer)	2 July 1589	Antwerp	8 March 1640	Antwerp	42.2009	-85.82171
Metastasio	 	Italian poet and librettist	January 3, 1698	Rome, Papal States	April 12, 1782	Vienna, Holy Roman Empire	41.89474	12.4839
Metius, Adriaan Adriaanszoon	 	Dutch mathematician adn astronomer	9 December 1571	Alkmaar	6 September 1635	Franeker	5.85	-55.03333
Metsu, Gabriel	 	Dutch painter	1629	Leiden, Dutch Republic	24 October 1667	Amsterdam, Dutch Republic	52.15833	4.49306
Meulen, Adam Frans Van Der	 	painter	11 January 1632	Brussels	15 October 1690	Paris	50.8348	4.33653
Mews, Peter	 	Theologian and bishop	25 March 1619	Caundle Purse, Dorset, England	9 November 1706	England	64.23378	-76.54372
Mi, Heng	Mi, Zhengping	Scholar	173	Pingyuan County, Shandong|Pingyuan, Shandong, China	198	Jingzhou, Hubei, China	25.01531	121.17456
Michelangelo	Buonarroti, Michelangelo; Buonarroti, Michelangelo di Lodovico	Sculptor, painter and architect	6 March 1475	Caprese Michelangelo|Caprese near Arezzo, Republic of Florence (present-day Tuscany, Italy)	18 February 1564	Rome, Papal States (present-day Italy	43.63985	11.98484
Michelozzo	 	Italian artist	1396	Florence, Italy	1472	Florence, Italy	-21.87344	30.89136
Mieris, Frans van, Sr.	 	Dutch painter 	16 April 1635	Leiden, Dutch Republic	12 March 1681	Leiden, Dutch Republic	52.15833	4.49306
Milan, Gabriel	 	Governor of the Danish West Indies	1631	Glückstadt, Germany	March 26, 1689	Nytorv, Copenhagen, Denmark	-27.97838	31.03907
Miles, Sarah	 	British actor	31 December	Ingatestone, Essex, England, UK	 	Miles, Sarah	 	British actor
Milescu, Nicolae	 	Russian diplomat	1636	Vaslui	1708	Moscow	46.65549	27.73602
Milton, John	 	English poet and prose polemicist	9 December 1608	Bread Street, Cheapside, London	8 November 1674	Bunhill, London	51.53223	-0.04905
Minamoto no Yoshinaka	 	General	1154	Musashi Province, Japan	March 4, 1184		41.5	135
Minas, Antonio Luis De Sousa, 2nd Marques	 	Portuguese general and noble	April 6, 1644	Kingdom of Portugal	December 25, 1721	Kingdom of Portugal	42.5	1.48333
Minervina	Minervina the Great	 	Sometime in 36 A.D	Roma	Unknown	Roma	-23.13302	-52.17111
Minuit, Peter	Pierre Minuit, Peter Minnewit	third director-general of New Netherland, founder of the Sweden|Swedish colony of New Sweden in 1638	1589	Wesel (modern North Rhine-Westphalia, Germany)	August 5, 1638	Saint Kitts|St. ChristopherMinuit, Peter	Pierre Minuit, Peter Minnewit	third director-general of New Netherland, founder of the Sweden|Swedish colony of New Sweden in 1638
Moctezuma II	Motecuhzoma Xocoyotzin (Nahuatl), Moctezuma Xocoyotzin (Spanish)	Mexica (Aztec) tlatoani (1502–1520)	 ad.1466 or 1480	Mexico	June 1520	Tenochtitlan (Mexico City), Mexico	35.08394	-106.61919
Mogila, Peter	Peter Mogilas	Metroploitan of Kiev, Halych,and All-Rus	December 21, 1596	Moldavia	December 22, 1646	Kiev, Ukraine	46.5	27
Mohr, Jørgen	Mohr, Georg (Latinized)	Denmark|Danish mathematician	April 1, 1640	Copenhagen	January 26, 1697	Sławnikowice, Lower Silesian Voivodeship|Kieslingswalde, near Görlitz, Germany	55.58297	12.62937
Moillon, Louise	 	French painter	December 25, 1609	Paris	December 21, 1696	Paris	48.86694	2.78207
Moivre, Abraham De	 	French mathematician	26 May 1667	Vitry-le-François, Champagne (province)|Champagne, France	27 November 1754	London, England	48.73333	4.58333
Mola, Pier Francesco	 	Italian painter	9 February 1612	Ticino, now Switzerland	13 May 1666	Rome	45.62987	8.63163
Molcho, Solomon	 	Portuguese mystic	1 January 1500	Portugal	13 December 1532	Mantua, Italy	-23.48628	-46.73367
Molière	Poquelin, Jean-Baptiste	French playwright, actor	January 15, 1622	Paris, France	February 17, 1673	Paris, France	48.86694	2.78207
Moller, Martin	 	German poet and mystic	10 November 1547	Kropstädt	2 March 1606		51.96307	12.7455
Monck, George	 	English politician and general	6 December 1608	Potheridge, Great Torrington, Devon	3 January 1670		50.95309	-4.14401
Monica, Saint	 	Woman saint; mother of St. Augustine	331	Tagaste, Numidia (present-day Algeria)	387	Ostia Antica (archaeological site)|Ostia, outside of Rome	-2.83333	-71.21667
Moning, Karen Marie	 	Author	November 1	Cincinnati, Ohio, United States|U.S.	 		40.51732	-89.66374
Moninne	Moninna	Irish saint	432	Ireland	518	Killeavy, Ireland	55	-12.66667
Monje Crúz, José	 	England|English Jesuit, executed because of his involvement in the Gunpowder Plot of 5 November 1605	1555	Heanor in Derbyshire	3 May 1606	St Paul's, London	42.5	1.48333
Monk, Eustace the	Busket, Eustace	Medieval mercenary and pirate	1170	County of Boulogne, France	24 August 1217	North Sea, off Sandwich, Kent	15.33712	44.2012
Monmouth, James Scott, 1st Duke Of	 	British noble	9 April 1649	Rotterdam, Netherlands	15 July 1685	Tower Hill, London, England	51.92508	4.46946
Montaigne, Michel De	 		28 February 1533	Château de Montaigne	13 September 1592	Château de Montaigne	Montaigne, Michel De	
Montmorency, Anne de	 	First Duke of Montmorency (1551-1567)	15 March 1493	Chantilly, Oise|Chantilly	12 November 1567	Paris	12.05	-61.73333
Montoku	 	Japanese emperor	22 January 826	Heian Kyō (Kyōto)	7 October 858	Heian Kyō (Kyōto)	42.5	1.48333
Montorsoli, Giovanni Angelo	 	Italian Servite friar and sculptor	1506	Florence, Republic of Florence	1563		-21.87344	30.89136
Moore, Francis	 	British physician and astrologer	29 January 1657	Bridgnorth, Shropshire, England	1123545		52.53661	-2.42033
Moore, Francis	 	English politician	1558	East Ilsley, Berkshire	20 November 1621	South Fawley, Berkshire	51.52728	-1.29089
More, Thomas	 	English lawyer, writer	7 February 1478	London, England	6 July 1535	London, England	51.53223	-0.04905
Moreri, Louis	 	French priest and scholar	25 March 1643	Bargemon, Provence, France	10 July 1680	Paris, France	43.45508	5.31734
Moret, Theodore	 	mathematician, Jesuit	1602	Antwerp	1667	Breslau	42.2009	-85.82171
Mori, Naoko	森尚子(もりなおこ), Mori Naoko	Actress	11-29	Nagoya, Japan	 		35.16936	136.88375
Morley, George	Bishop of Worcester, Bishop of Winchester	Bishop	1597	London, England	1684		51.53223	-0.04905
Morse	Saint Henry Morse	Catholic martyr from England	1595	Brome, Suffolk, England	1 February 1645	Tyburn, London	45.21678	-72.51581
Morton, John	 	Bishop of Ely; Archbishop of Canterbury; Lord Chancellor	about 1420	Dorset, England	15 September 1500	Knole, Kent	64.23378	-76.54372
Moschus, Joannes	Saint John of the Meadow	 	550	Damascus	619	Rome	33.5102	36.29128
Mosheim, Johann Lorenz von	 	German people|German Lutheranism|Lutheran List of historians by area of study#Protestantism|church historian	October 9, 1693	Lübeck	September 9, 1755	Göttingen	53.8344	10.70392
Moulinié, Étienne	Etienne Moulinié	French Baroque composer	10 October 1599	Languedoc	1676	Languedoc	43.66667	3.16667
Moulson, Sir Thomas	Mowlson, Sir Thomas	Mayor of London	1582	Hargrave, Cheshire|Hargrave, Cheshire	1638		-33.88608	151.23658
Mozi	墨翟; Mocius; Mo Tzu; Micius; original name Mo Di	Chinese political philosopher and religious reformer of the Warring States period	470 BC	Lu, China	391 BC	China	-6.67303	15.67174
Mstislav I of Kiev	Мстислав Владимирович Великий (Russian)	Grand Prince of Kiev (1125–1132)	June 1, 1076	Turov	April 14, 1132	Kiev	54.8904	26.1704
Muenster, Sebastian	 	German cartographer, cosmographer, and a Hebrew scholar	20 January 1488	Ingelheim, near Mainz	26 May 1552	Basel	49.974	8.051
Muffet	 	English politician	1553	Shoreditch, London, England	5 June 1604	Bulbridge Farm, Wilton, Wiltshire	51.52509	-0.07695
Muggleton, Lodowicke	 	English religious leader	1609	London	1698		51.53223	-0.04905
Muhammad Azam 	Azam Tara, Shahi Ali Jah	Mughal emperor	28 June 1653	Burhanpur, Mughal Empire	8 June 1707	Jajau, Agra, Mughal Empire	42.5	1.58333
Muhammad Ibn Idris Ash-Shafi`01	 	Muslim jurist	767	Gaza, Palestine	820	Fustat, Egypt	31.5	34.46667
Muhammad Khwandamir	 	Historian	1475	Herat, Khurasan (now in Afghanistan)	1534	buried in Delhi, India	34.2111	62.22851
Muhammad Quli Qutb Shah	 	Sultan	1565	Golkonda, Hyderabad	1612	Daulat Khan-e-Ali palace	25.36943	68.393
Muhammad al-Bukhari	Muhammad Bukhari (Persian)	Hadith compiler	19 July 810	Bukhara	1 September 870	Khartank, near Samarqand	39.76629	64.47988
Muhammad bin Fahd	 	former Governor of Eastern Province and member of House of Saud	195o	Riyadh	 		24.70983	46.72517
Muhammad ibn Falah	 	Founded the Musha'sha'iya, a Shi'a sect	1400	Wasit, Iraq	1461	Hoveizeh, Iran	32.75	45.41667
Muhammad of Ghor	Muizz-ud-din Muhammad bin Sām, Shahāb-ud-Din Muhammad Ghori	Warlord and conqueror	1162	Ghor, Afghanistan	March 15, 1206	Damik, Jhelum District, Pakistan	16.3168	32.6221
Mukherjee, Kamalinee	 	Indian actor	4 March	Kolkata, West Bengal, India	 		22.56263	88.36304
Mulai Al-Rashid Of Morocco	 	Sultan of Morocco	1631	Tafilalt, Morocco	9 April 1672	Marrakech, Morocco	31.3	-4.3
Mulligan, Terry David	TDM	Canadian actor	June 30	New Westminster, British Columbia	 		49.20678	-122.91092
Munio of Zamora	 	Bishop and Master General of the Dominican Order	1237	Zamora, Spain	19 February 1300	Rome, Italy	-18.45447	-65.20319
Murad III	 	Ottoman sultan	4 July 1546	Bozdağan or Manisa	16 January 1595	Topkapı Palace Istanbul	42.5	1.48333
Murakami	 	Japanese emperor	14 July 926	Heian Kyō (Kyōto)	5 July 967	Seiryōden of the Heian-kyō|Heian Kyō (Kyōto)	42.5	1.48333
Murillo, Bartolome Esteban	 	Spanish artist 	late December 1617	Seville, Spain	April 3, 1682	Seville, Spain	43.4228	-84.78607
Murphy, Glen	Murphy MBE,Glen	British actor	6 April 	West Ham	 		51.53333	0.01667
Musschenbroek, Pieter Van	 	Scientist	14 March 1692	Leiden, Netherlands	19 September 1761	Leiden, Netherlands	52.15833	4.49306
Mustafa, Sehzade	 	Prince 	1515	Manisa, Ottoman Empire	October 6, 1553	Konya	38.61202	27.42646
Nabbes, Thomas	 	Playwright, Poet	1605	Worcestershire	6 April 1641	London	52.8	-2
