NAME	ALTERNATIVENAMES	SHORTDESCRIPTION	DATEOFBIRTH	PLACEOFBIRTH	DATEOFDEATH	PLACEOFDEATH	LATITUDE	LONGITUDE
Al-Maqrizi	 	Historian	1364	Cairo, Egypt	1442		30.1164	30.9154
Al-Mutanabbi	 	Arab Iraqi poet	915	Kufah, Iraq	965		15.32422	44.19623
Al-Nasai	Aḥmad ibn Shu`ayb ibn Alī ibn Sīnān Abū `Abd ar-Raḥmān al-Nasā'ī (full name)	Muslim scholar	214 AH (c. 829 CE)	Turkmenistan	915		37.81454	65.5394
Al-Nasir Muhammad	 	Sultan of Egypt	1285	Cairo, Egypt	1341	Cairo, Egypt	30.1164	30.9154
Al-Rahman I, Abd	 	Royalty	731	near Damascus	788	Córdoba, Spain|Córdoba	42.5	1.48333
Al-Ridha, Ali	 	Shia Imam	765	Medina	818		34.83333	15.16667
Al-Sadiq, Jafar	 	Muslim religious person	702	Medina	765	Medina, Umayyad Empire	34.83333	15.16667
Al-Tirmidhi	 	Hadith scholar	824	Termez, Abbasid Caliphate	892	Termez, Samanid Empire	37.28667	67.31
Alabaster, William	 	English poet, playwright, and religious writer	January 27, 1567	Hadleigh, Suffolk	1640		-29.58882	150.45325
Alacoque, Marguerite Marie	 	Nun, mystic and saint	22 July 1647	Verosvres|L'Hautecour, Duchy of Burgundy, Kingdom of France	17 October 1690	Paray-le-Monial, Duchy of Burgundy, Kingdom of France	42.5	1.58333
Alamgir Ii	 	Mughal Emperor	6 June 1699	Multan, Mughal Empire	29 November 1759	Kotla Fateh Shah, Mughal Empire	56.40867	51.73631
Alaric 01	 	King of the Visigoths	370	Peuce Island, Dobruja	410	Cosenza, Calabria	44	28
Alauddin Sabir Kaliyari	 	Sufi saint	A.D.1196	(Herat Afghanisthan )	A.D 1291,13 RABI AL AWAAL 690 HIJRI	Kaliyar, Roorkee, India	42.5	1.48333
Albani, Alessandro	 	Collector of antiquities, Roman Catholic cardinal	October 15, 1692	Urbino, Italy	December 11, 1779	Rome, Italy	43.72976	12.63555
Albani, Francesco	 	Baroque painter	18 August 1578	Bologna	4 October 1660		44.50657	11.35041
Alberoni, Giulio	 	Italy|Italian Cardinal (Catholicism)|cardinal, Politician|statesman	1664-05-30	Fiorenzuola d'Arda, Italy	1752-06-26		44.92206	9.90897
Albert 05 Of Saxe-Coburg, Duke	 	a duke of Saxe-Coburg	24 May 1648	Gotha (town)|Gotha	6 August 1699	Coburg	30.06597	70.24194
Albert Azzo II, Margrave of Milan	 	Margrave of Milan (1020-1097)	997 of 1009	Modena, Italy	August 20, 1097	Modena, Italy	45.54991	-99.6465
Albert Frederick, Duke of Prussia	Herzog Albrecht Friedrich von Preußen	Duke of Prussia (1568-1618)	7 May 1553	Königsberg	28 August 1618	Fischhausen	47.7	13.33333
Albert I, Duke of Bavaria	Albrecht I. von Bayern (German)	Count of Hainaut, Holland and Zeeland (1388-1404)	July 25, 1336	Munich	December 13, 1404	the Hague	48.35378	11.78609
Albert II, Duke of Austria	Albert the Wise	Duke of Austria	12 December 1298	Habsburg Castle in Habsburg, Switzerland|Habsburg	16 August 1358	Vienna	39.82569	-80.89705
Albert III of Saxony, Duke	Albrecht der Beherzte (German)	Duke of Saxony (1464-1500)	27 January 1443	Grimma	12 September 1500	Emden	51.2386	12.7293
Albert III the Pious of Bavaria-Munich	Albrecht III. der Fromme, Herzog von Bayern-München (German)	Duke of Bavaria-Munich (1438-1460)	27 March 1401	Munich	29 February 1460	Munich	48.35378	11.78609
Albert III, Duke of Austria	Albert with the Pigtail (nickname); Albrecht III., Graf von Habsburg (German)	Duke of Austria (1365-1395)	9 September 1349	Vienna	29 August 1395	Schloss Laxenburg	48.20849	16.37208
Albert IV, Duke of Austria	Albrecht IV., Erzherzog von Österreich	Archduke of Austria (1395-1404)	19 September 1377	Vienna	14 September 1404	Klosterneuburg	48.20849	16.37208
Albert IV, Duke of Saxe-Eisenach	Albrecht von Sachsen-Eisenach (German)	Duke of Saxe-Eisenach (1640-1644)	27 July 1599	Altenburg	20 December 1644	Eisenach	-20.97378	30.79024
Albert Iv, Duke Of Bavaria	 	Duke of Bavaria	15 December 1447	Munich	18 March 1508	Munich	48.35378	11.78609
Albert Of Austria	 	Archduke of Austria	13 November 1559	Wiener Neustadt	13 July 1621	Brussels	47.84333	16.26014
Albert Of Sweden	 	King of Sweden, Duke of Mecklenburg-Schwerin	1338	Mecklenburg	1 April 1412	Mecklenburg	1338	1412
Albert V, Duke Of Bavaria	 	Duke of Bavaria	29 February 1528	Munich	24 October 1579	Munich	48.35378	11.78609
Albert VI of Bavaria	 	Duke of Bavaria	26 February 1584	Munich	5 July 1666	Munich	48.35378	11.78609
Albert Vi, Archduke Of Austria	 	an Archduke of Inner Austria 1424-1463 and of Austria 1457-1463	December 12, 1418	Vienna	December 2, 1463		48.20849	16.37208
Albert of Stade	 	Franciscan friar and chronicler	1180s	Germany	1260s	Stade, Archdiocese of Bremen, Holy Roman Empire	-29.80183	30.88396
Albert, Duke of Prussia	Albrecht von Preußen (German)	Duke of Prussia	8 July 1490	Ansbach	20 March 1568	Tapiau Castle in Gvardeysk	49.3007	10.5692
Alberti, Leone Battista	 	Italian painter	February 14, 1404	Genoa, Italy	April 20, 1472	Rome	40.17438	-82.89748
Albertinelli, Mariotto	 	Painter	October 13, 1474	Florence	November 5, 1515		-21.87344	30.89136
Albertoni, Ludovica	Cetera, Ludovica	Italian Franciscan tertiary and blessed	1473	Rome, Papal States	January 31, 1533	Rome, Papal States	41.89474	12.4839
Albertus Parisiensis	 	Medieval French composer	before 1146	Estampes, France	after 1177	Paris, France	43.39424	0.27548
Albicus, Sigismund	 	Roman Catholic Archbishop of Prague and a Moravian	1360	Uničov, Moravia	1427	Hungary	-1.48673	-78.05788
Albinus, Bernhard	 	German-born Dutch anatomist	24 February 1697	Frankfurt an der Oder	9 September 1770		42.5	1.58333
Albinus, Clodius	 	Roman usurper proclaimed emperor by the legions in Britain and Hispania	150	Hadrumetum, Africa Province (Sousse, Tunisia)	February 19, 197	Lugdunum	42.5	1.58333
Alboin	 	King of the Lombards	530s	Pannonia	572	Verona, Kingdom of Italy (medieval)|Italy	47.51082	19.03141
Albrecht III Achilles, Elector of Brandenburg	Albert Achilles	Elector of Brandenburg (1471-1486)	9 November 1414	Tangermünde	11 March 1486	Frankfurt am Main	52.5388	11.9626
Albrecht VII, Count of Schwarzburg-Rudolstadt	Albert VII (English)	Count of Schwarzburg-Rudolstadt	16 January 1537	Sondershausen	10 April 1605	Rudolstadt	51.36785	10.8637
Albrecht Wenzel Eusebius von Wallenstein	Waldstein	Czechs|Czech General Officer|general of the Thirty Years' War to Ferdinand II, Holy Roman Emperor|Ferdinand II	24 September 1583	Heřmanice (Náchod District)|Heřmanice, Bohemia	25 February 1634	Cheb, Bohemia	49.96655	16.68464
Albuquerque, Alfonso D'	 	Nobleman	1453	Vila Franca de Xira|Alhandra, Kingdom of Portugal	1515	Goa, Portuguese India	38.95525	-8.98966
Alcibiades	Alcibiades Cleiniou Scambonides (full name); Ἀλκιβιάδης Κλεινίου Σκαμβωνίδης (Greek); Alkibiades (alternate transliteration)	Athenian statesman, orator, and general	450 BC	Athens, (now Greece)	404 BC	Phrygia (now Turkey)	37.98888	23.73604
Alcock, John	 	Bishop of Rochester; Bishop of Worcester; Bishop of Ely; Lord Chancellor of England	about 1430	Beverley, Yorkshire	1 October 1500		-17.8375	31.10583
Alcuin	 	English scholar and abbot	735	York, Northumbria	804		-20.18736	29.24931
Aldhelm	 	Bishop of Sherborne; Abbot of Malmesbury	639	Wessex	25 May 709	Doulting, Somerset	-42.23	146.12
Aldobrandesca	 	Italian Christian saint and nurse	1249	Siena, Italy	1309	Italy	-34.89496	138.53334
Aldrich, Henry	 	Theologian, philosopher, architect, and poet	1647	England	14 December 1710	Oxford, England	38	-61
Aldrovandi, Pompeo	 	Cardinal	23 September 1668	Bologna, Italy	6 January 1752	Montefiascone, Italy	44.50657	11.35041
Aldrovandi, Ulisse	 	Naturalist	11 September 1522	Bologna	4 May 1605		44.50657	11.35041
Aldworth, Elizabeth	 	Female freemason	1693/1695	Doneraile, County Cork, Ireland	1773 or 1775	County Cork, Ireland	52.21667	-8.58333
Aleandro, Girolamo	 	Cardinal and scholar	13 February 1480	Motta di Livenza, Province of Treviso, Republic of Venice	1 February 1542	Venice, Republic of Venice	45.77661	12.60772
Alegambe, Philippe	 	Roman Catholic Jesuit	22 January 1592	Brussels, Belgium	6 September 1652	Rome, Italy	50.8348	4.33653
Alencastre Norona Y Silva, Fernando De	 	Soldier and viceroy	1641	Spain	3 June, 1717	Mexico City, Mexico	17.1859	-89.01033
Aleotti, Giovan Battista	 	Architect	1546	Argenta, Italy	12 December 1636		44.61237	11.83562
Aleotti, Vittoria	Raffaella Aleotti	Italian composer and organist	1575	Ferrara	after 1620	Ferrara	27.33431	-100.15656
Ales, Alexander	 	Theologian	23 April 1500	Edinburgh, Scotland	17 March 1565	Leipzig, Germany	-27.05945	24.71266
Alessandri	 	Jurist	1461	Naples, Italy	1523		34.97785	-97.7142
Alexander 02 Of Scotland	 	King of Scots 1214-1249	24 August 1198	Haddington, East Lothian	6 July 1249	Kerrera, Inner Hebrides	55.91667	-2.75
Alexander 03 Of Scotland	 	King of Scots 1249-1286	11 September 1241	Roxburgh, Roxburghshire	26 March 1286	Kinghorn Ness, Fife	55.56795	-2.47997
Alexander 06	 	Pope	1 January 1431	Xàtiva, Valencia, Crown of Aragon	18 August 1503	Rome, Papal States	38.98333	-0.51667
Alexander 07	 	Pope	13 February 1599	Siena, Grand Duchy of Tuscany	22 May 1667	Rome, Papal States	-34.89496	138.53334
Alexander 08	 	Pope	22 April 1610	Venice, Republic of Venice	1 February 1691	Rome, Papal State	45.25	13
Alexander Of Hales	 	English Franciscan theologian and philopher	1180-1186	Haloswen, Shropshire, Kingdom of England	1245	Paris, Kingdom of France	-41.15	146.16
Alexander, Duke Of Schleswig-Holstein-Sonderburg	 	Danish nobleman	20 January 1573	Sønderborg	13 May 1627	Sønderborg- Beck	54.96437	9.79173
Alexandra of Lithuania	Lithuanian princess, Masovian duchess	Youngest daughter of Algirdas, Grand Duke of Lithuania, and his second wife, Uliana of Tver	late 1360s or early 1370s	Vilnius	April 20, 1434	Płock	54.63413	25.28577
Alexandru 01 Aldea	 	Prince of Wallachia (1431–1436)	1397	Romania	1436	Wallachia	15.32495	44.19532
Alexios II Komnenos	 	Ancient Byzantine emperor	10 September 1169	Constantinople, Byzantine Empire	24 September 1183	Constantinople, Byzantine Empire	42.5	1.58333
Alexis Of Russia	 	Tsar of Russia 1645-1676	29 March 1629	Moscow	29 January 1676	Moscow	55.75222	37.61556
