Eastern Wu	null	229	280	114.886707	30.3971188	null
Taifa of Seville	null	1023	1091	-84.78607	43.4228	null
Principality of Lüneburg	principality	1269	1705	10.4078555	53.248706	DEU Fuerstentum Lueneburg COA.svg
Margraviate of Landsberg	null	1156	1256	10.4234469	51.0834196	null
Electorate of Mainz	archdiocese	780	1803	8.2791	49.98419	Wappen Erzbistum Mainz.png
Mérode Altarpiece	triptych	1427	1527	-73.9633640138519	40.77944365	null
Himyarite Kingdom	null	-110	525	65.240613	38.758598	null
Adoration in the Forest (Lippi)	painting	1458	1558	13.3646506	52.5085892	null
Eastern Wei	null	534	550	112.4209629	34.6556873	null
County of Hainaut	countship	1071	1794	3.951958	50.4549568	Wapen van Henegouwen (provincie).svg
Saxe-Lauenburg	duchy	1296	1876	10.5513889	53.3789803	COA family de Sachsen-Lauenburg.svg
Bishopric of Worms	null	861	1801	8.32120408588846	49.6615131	Wappen Bistum Worms.png
County of Eberstein	countship	1085	1660	14.56	46.80806	null
County of Veldenz	countship	1112	1801	7.0227458	49.8896658	Wappen Grafschaft Veldenz.svg
Pskov Republic	former country	1348	1510	28.3343684	57.8173995	Символ господарства Псковского.png
Bentheim-Steinfurt	noble family	1454	1554	10.4234469	51.0834196	null
Bishopric of Eichstätt	null	1305	1802	11.1872697	48.8928801	Hochstift Eichstaett coat of arms.svg
County of East Frisia	null	1464	1744	5.83333	53.16667	null
County of Baden	null	1415	1798	-102.03839	48.5899	null
Isenburg-Büdingen	countship	1341	1441	10.4234469	51.0834196	null
County of Stolberg	null	1210	1548	10.4234469	51.0834196	null
Werle	principality	1235	1436	11.6748284	53.2632957	null
Shu Han	former country	221	263	104.0612783	30.6765553	null
Cao Wei	null	220	265	112.4209629	34.6556873	null
Miraflores Altarpiece	painting	1442	1542	13.3646506	52.5085892	null
Dresden Triptych	painting	1437	1537	13.7346385	51.0534657	null
Assumption of the Virgin (Botticini)	painting	1475	1575	-0.128558502487114	51.50882525	null
Kara Koyunlu	organization	1375	1468	46.2891614	38.0773948	null
