#Item	Label	Description	Site on enwiki
Q1139126	Museum of Ukrainian folk art		Museum of Ukrainian folk art
Q1139213	Metropolitan Police Service	territorial police force responsible for law enforcement in Greater London	Metropolitan Police Service
Q1139748	Museum of Science		Museum of Science (Boston)
Q1139958	National Zoological Gardens of South Africa		National Zoological Gardens of South Africa
Q1140168	Staten Island Museum	museum in Staten Island, New York	Staten Island Museum
Q1140265	Royal Dramatic Theatre	theater in Stockholm, Sweden	Royal Dramatic Theatre
Q1140429	State Historical Museum		State Historical Museum
Q1140507	Ny Carlsberg Glyptotek	Museum in Copenhagen founded by Carl Jacobsen	Ny Carlsberg Glyptotek
Q1140817	Chumikan		Chumikan
Q1141468	National Museum Soares dos Reis	museum in Porto, Portugal	Soares dos Reis National Museum
Q1142142	Nordiska museet	Museum in Stockholm, Sweden	Nordic Museum
Q1142326	Seine	former French department (1790-1968)	Seine (department)
Q1142336	Augustów Voivodeship		Augustów Voivodeship
Q1142714	St. Xavier High School		St. Xavier High School (Cincinnati)
Q1143289	Yale Law School	law school of Yale University	Yale Law School
Q1144673	Royal Academy of Music	conservatoire in London	Royal Academy of Music
Q1144812	Peter I Monument in Taganrog		Peter I Monument in Taganrog
Q1145306	University of Calcutta	university located in Kolkata, West Bengal, India	University of Calcutta
Q1145487	Samaná Province		Samaná Province
Q1146988	quai d'Orsay	thoroughfare in Paris, France	Quai d'Orsay
Q1148462	Cyprus Museum		Cyprus Museum
Q1150616	Frilandsmuseet		Frilandsmuseet
Q1153320	Zeynep Sultan Mosque		Zeynep Sultan Mosque
Q1154377	Zollern		Zollern
Q1154923	Helsinki University Observatory	observatory in Helsinki, Finland	Helsinki University Observatory
Q1159246	Asti	unincorporated community in California	Asti, California
Q1160154	Cathedral of the Annunciation		Cathedral of the Annunciation
Q1161253	Glacier National Park		Glacier National Park (Canada)
Q1165546	Mosquito Coast	former protectorate of the United Kingdom	Mosquito Coast
Q1166080	Darien scheme		Darien scheme
Q1180925	Hughestown	borough in northeastern Luzerne County, Pennsylvania	Hughestown, Pennsylvania
Q1180981	Deal Castle	16th century coastal artillery fort, located in Deal, Kent, England	Deal Castle
Q1181036	West Wyoming	borough in northeastern Luzerne County, Pennsylvania, United States	West Wyoming, Pennsylvania
Q1181100	Shickshinny	borough in western Luzerne County, Pennsylvania	Shickshinny, Pennsylvania
Q1181277	Rimersburg	borough in Pennsylvania, United States of America	Rimersburg, Pennsylvania
Q1181312	Saxonburg	borough in Pennsylvania, USA	Saxonburg, Pennsylvania
Q1181517	West Hazleton	borough in southwestern Luzerne County, Pennsylvania	West Hazleton, Pennsylvania
Q1183174	Laurel Run	borough in central Luzerne County, Pennsylvania	Laurel Run, Pennsylvania
Q1183252	White Haven	borough in southeastern Luzerne County, Pennsylvania	White Haven, Pennsylvania
Q1183317	Swoyersville	borough in northeastern Luzerne County, Pennsylvania	Swoyersville, Pennsylvania
Q1183363	Wyoming	borough in northeastern Luzerne County, Pennsylvania	Wyoming, Pennsylvania
Q1183407	Taifa of Algeciras		Taifa of Algeciras
Q1184852	Sugar Notch	borough in central Luzerne County, Pennsylvania	Sugar Notch, Pennsylvania
